Time (s);Electrode;Attention;Meditation;Sampling Rate
1.863281;500.000000;43.000000;75.000000;
1.865234;528.000000;43.000000;75.000000;
1.867188;569.000000;43.000000;75.000000;
1.869141;565.000000;43.000000;75.000000;
1.871094;539.000000;43.000000;75.000000;
1.873047;520.000000;43.000000;75.000000;
1.875000;521.000000;43.000000;75.000000;
1.876953;512.000000;43.000000;75.000000;
1.878906;492.000000;43.000000;75.000000;
1.880859;488.000000;43.000000;75.000000;
1.882813;499.000000;43.000000;75.000000;
1.884766;501.000000;43.000000;75.000000;
1.886719;483.000000;43.000000;75.000000;
1.888672;472.000000;43.000000;75.000000;
1.890625;469.000000;43.000000;75.000000;
1.892578;466.000000;43.000000;75.000000;
1.894531;448.000000;43.000000;75.000000;
1.896484;417.000000;43.000000;75.000000;
1.898438;400.000000;43.000000;75.000000;
1.900391;419.000000;43.000000;75.000000;
1.902344;439.000000;43.000000;75.000000;
1.904297;449.000000;43.000000;75.000000;
1.906250;439.000000;43.000000;75.000000;
1.908203;418.000000;43.000000;75.000000;
1.910156;397.000000;43.000000;75.000000;
1.912109;391.000000;43.000000;75.000000;
1.914063;403.000000;43.000000;75.000000;
1.916016;395.000000;43.000000;75.000000;
1.917969;348.000000;43.000000;75.000000;
1.919922;307.000000;43.000000;75.000000;
1.921875;307.000000;43.000000;75.000000;
1.923828;316.000000;43.000000;75.000000;
1.925781;311.000000;43.000000;75.000000;
1.927734;273.000000;43.000000;75.000000;
1.929688;236.000000;43.000000;75.000000;
1.931641;248.000000;43.000000;75.000000;
1.933594;272.000000;43.000000;75.000000;
1.935547;250.000000;43.000000;75.000000;
1.937500;224.000000;43.000000;75.000000;
1.939453;244.000000;43.000000;75.000000;
1.941406;278.000000;43.000000;75.000000;
1.943359;283.000000;43.000000;75.000000;
1.945313;264.000000;43.000000;75.000000;
1.947266;233.000000;43.000000;75.000000;
1.949219;216.000000;43.000000;75.000000;
1.951172;208.000000;43.000000;75.000000;
1.953125;200.000000;43.000000;75.000000;
1.955078;194.000000;43.000000;75.000000;
1.957031;150.000000;43.000000;75.000000;
1.958984;98.000000;43.000000;75.000000;
1.960938;54.000000;43.000000;75.000000;
1.962891;34.000000;43.000000;75.000000;
1.964844;50.000000;43.000000;75.000000;
1.966797;109.000000;43.000000;75.000000;
1.968750;185.000000;43.000000;75.000000;
1.970703;213.000000;43.000000;75.000000;
1.972656;183.000000;43.000000;75.000000;
1.974609;164.000000;43.000000;75.000000;
1.976563;180.000000;43.000000;75.000000;
1.978516;169.000000;43.000000;75.000000;
1.980469;135.000000;43.000000;75.000000;
1.982422;84.000000;43.000000;75.000000;
1.984375;54.000000;43.000000;75.000000;
1.986328;33.000000;43.000000;75.000000;
1.988281;0.000000;43.000000;75.000000;
1.990234;8.000000;43.000000;75.000000;
1.992188;50.000000;43.000000;75.000000;
1.994141;70.000000;43.000000;75.000000;
1.996094;81.000000;43.000000;75.000000;
1.998047;84.000000;43.000000;75.000000;
2.000000;83.000000;43.000000;75.000000;
2.001953;67.000000;43.000000;75.000000;
2.003906;52.000000;43.000000;75.000000;
2.005859;43.000000;43.000000;75.000000;
2.007813;51.000000;43.000000;75.000000;
2.009766;58.000000;43.000000;75.000000;
2.011719;34.000000;43.000000;75.000000;
2.013672;2.000000;43.000000;75.000000;
2.015625;8.000000;43.000000;75.000000;
2.017578;8.000000;43.000000;75.000000;
2.019531;-45.000000;43.000000;75.000000;
2.021484;-103.000000;43.000000;75.000000;
2.023438;-115.000000;43.000000;75.000000;
2.025391;-97.000000;43.000000;75.000000;
2.027344;-83.000000;43.000000;75.000000;
2.029297;-83.000000;43.000000;75.000000;
2.031250;-59.000000;43.000000;75.000000;
2.033203;-11.000000;43.000000;75.000000;
2.035156;23.000000;43.000000;75.000000;
2.037109;43.000000;43.000000;75.000000;
2.039063;49.000000;43.000000;75.000000;
2.041016;26.000000;43.000000;75.000000;
2.042969;-23.000000;43.000000;75.000000;
2.044922;-72.000000;43.000000;75.000000;
2.046875;-109.000000;43.000000;75.000000;
2.048828;-118.000000;43.000000;75.000000;
2.050781;-94.000000;43.000000;75.000000;
2.052734;-73.000000;43.000000;75.000000;
2.054688;-68.000000;43.000000;75.000000;
2.056641;-83.000000;43.000000;75.000000;
2.058594;-87.000000;43.000000;75.000000;
2.060547;-57.000000;43.000000;75.000000;
2.062500;-42.000000;43.000000;75.000000;
2.064453;-60.000000;43.000000;75.000000;
2.066406;-61.000000;43.000000;75.000000;
2.068359;-24.000000;43.000000;75.000000;
2.070313;21.000000;43.000000;75.000000;
2.072266;35.000000;43.000000;75.000000;
2.074219;29.000000;43.000000;75.000000;
2.076172;38.000000;43.000000;75.000000;
2.078125;54.000000;43.000000;75.000000;
2.080078;61.000000;43.000000;75.000000;
2.082031;27.000000;43.000000;75.000000;
2.083984;-26.000000;43.000000;75.000000;
2.085938;-42.000000;43.000000;75.000000;
2.087891;-10.000000;43.000000;75.000000;
2.089844;1.000000;43.000000;75.000000;
2.091797;-18.000000;43.000000;75.000000;
2.093750;-25.000000;43.000000;75.000000;
2.095703;-11.000000;43.000000;75.000000;
2.097656;5.000000;43.000000;75.000000;
2.099609;3.000000;43.000000;75.000000;
2.101563;-5.000000;43.000000;75.000000;
2.103516;3.000000;43.000000;75.000000;
2.105469;6.000000;43.000000;75.000000;
2.107422;-9.000000;43.000000;75.000000;
2.109375;-19.000000;43.000000;75.000000;
2.111328;4.000000;43.000000;75.000000;
2.113281;23.000000;43.000000;75.000000;
2.115234;37.000000;43.000000;75.000000;
2.117188;25.000000;43.000000;75.000000;
2.119141;2.000000;43.000000;75.000000;
2.121094;-18.000000;43.000000;75.000000;
2.123047;-19.000000;43.000000;75.000000;
2.125000;-2.000000;43.000000;75.000000;
2.126953;5.000000;43.000000;75.000000;
2.128906;8.000000;43.000000;75.000000;
2.130859;0.000000;43.000000;75.000000;
2.132813;-17.000000;43.000000;75.000000;
2.134766;-17.000000;43.000000;75.000000;
2.136719;-5.000000;43.000000;75.000000;
2.138672;-2.000000;43.000000;75.000000;
2.140625;-2.000000;43.000000;75.000000;
2.142578;3.000000;43.000000;75.000000;
2.144531;-8.000000;43.000000;75.000000;
2.146484;-18.000000;43.000000;75.000000;
2.148438;-23.000000;43.000000;75.000000;
2.150391;-28.000000;43.000000;75.000000;
2.152344;-9.000000;43.000000;75.000000;
2.154297;16.000000;43.000000;75.000000;
2.156250;21.000000;43.000000;75.000000;
2.158203;17.000000;43.000000;75.000000;
2.160156;9.000000;43.000000;75.000000;
2.162109;6.000000;43.000000;75.000000;
2.164063;22.000000;43.000000;75.000000;
2.166016;17.000000;43.000000;75.000000;
2.167969;-8.000000;43.000000;75.000000;
2.169922;-9.000000;43.000000;75.000000;
2.171875;6.000000;43.000000;75.000000;
2.173828;12.000000;43.000000;75.000000;
2.175781;6.000000;43.000000;75.000000;
2.177734;-2.000000;43.000000;75.000000;
2.179688;-29.000000;43.000000;75.000000;
2.181641;-26.000000;43.000000;75.000000;
2.183594;3.000000;43.000000;75.000000;
2.185547;11.000000;43.000000;75.000000;
2.187500;-4.000000;43.000000;75.000000;
2.189453;-19.000000;43.000000;75.000000;
2.191406;-33.000000;43.000000;75.000000;
